time,flux,flux_err
1345.995439649933,6606.8057,11.2548685
1345.99682853713,6554.1733,11.227438
1345.998217424299,6575.764,11.253905
1345.9996063114972,6570.7446,11.234568
1346.000995198666,6589.6157,11.250923
1346.002384085864,6569.8125,11.228583
1346.0037729730325,6544.4463,11.229776
1346.0051618602304,6560.9824,11.228187
1346.0065507473996,6552.5293,11.220892
1346.0079396345977,6565.1655,11.236797
1346.0093285217656,6552.437,11.228055
1346.010717408964,6591.587,11.246741
1346.0121062961334,6564.7715,11.228742
1346.0134951833306,6564.6743,11.2351465
1346.0148840704992,6572.0664,11.230498
1346.0162729576978,6578.7236,11.246297
1346.0176618448672,6580.643,11.246858
1346.0190507320358,6563.361,11.23373
1346.020439619233,6582.593,11.245941
1346.0218285064025,6570.323,11.238449
1346.023217393572,6577.427,11.241968
1346.024606280769,6573.758,11.237734
1346.0259951679377,6569.7114,11.22795
1346.027384055107,6563.888,11.229502
1346.0287729423048,6563.3022,11.231395
1346.0301618294734,6588.547,11.242965
1346.0315507166422,6554.629,11.231087
1346.032939603811,6579.8296,11.236992
1346.0343284910095,6573.838,11.236799
1346.035717378178,6561.7114,11.231879
1346.0371062653462,6584.8345,11.243577
1346.0384951525157,6583.703,11.235279
1346.039884039685,6592.7236,11.242818
1346.0412729268537,6583.121,11.24125
1346.0426618140514,6572.0005,11.232628
1346.04405070122,6562.395,11.2294
1346.0454395883894,6572.774,11.234543
1346.0468284755582,6576.3384,11.241788
1346.048217362726,6573.43,11.232375
1346.0496062498955,6574.071,11.240509
1346.050995137065,6556.7183,11.230631
1346.052384024233,6561.5664,11.232755
1346.0537729114017,6571.464,11.231544
1346.0551617985711,6569.008,11.227249
1346.0565506857397,6598.7744,11.254864
1346.0579395729085,6557.394,11.23115
1346.0593284600773,6570.765,11.2417755
1346.0607173472458,6584.1006,11.240694
1346.0621062344146,6575.138,11.237331
1346.0634951215834,6572.448,11.232816
1346.0648840087529,6581.231,11.244067
1346.066272895893,6581.807,11.23918
1346.0676617830609,6561.375,11.2339945
1346.0690506702297,6570.6836,11.236506
1346.070439557399,6553.4297,11.227755
1346.071828444568,6573.3003,11.252649
1346.0732173317365,6580.171,11.246923
1346.074606218876,6579.6797,11.24068
1346.075995106045,6586.806,11.248306
1346.0773839932142,6597.6074,11.252094
1346.078772880383,6581.162,11.246208
1346.0801617675218,6563.827,11.239723
1346.081550654691,6582.3047,11.252699
1346.0829395418605,6580.877,11.2467985
1346.0843284289995,6572.269,11.240028
1346.085717316168,6557.2915,11.233156
1346.0871062033375,6556.487,11.234738
1346.0884950904779,6577.6606,11.243832
1346.0898839776464,6575.1226,11.250501
1346.0912728648145,6572.342,11.241397
1346.092661751955,6574.9824,11.251293
1346.0940506391244,6571.4067,11.246698
1346.0954395262631,6578.385,11.249176
1346.096828413432,6563.435,11.2439
1346.0982173005723,6557.854,11.240168
1346.0996061877408,6568.5776,11.239831
1346.1009950748803,6572.597,11.248486
1346.1023839620493,6592.3374,11.258235
1346.1037728491888,6585.461,11.267812
1346.1051617363582,6576.1396,11.2563505
1346.1065506234977,6559.0,11.262224
1346.1079395106658,6573.6343,11.256957
1346.1093283978062,6560.518,11.24821
1346.1107172849754,6578.79,11.258647
1346.112106172115,6592.286,11.2625675
1346.1134950592545,6567.161,11.255222
1346.1148839464233,6565.697,11.251551
1346.1162728335635,6579.39,11.264579
1346.1176617207034,6553.845,11.245372
1346.1190506078713,6554.3525,11.249657
1346.1204394950114,6583.607,11.26605
1346.1218283821518,6561.777,11.245628
1346.1232172692908,6580.1763,11.268715
1346.1246061564593,6561.315,11.2535095
1346.1259950435997,6579.2627,11.265467
1346.1273839307391,6590.1484,11.271263
1346.128772817879,6602.4165,11.273598
1346.1301617050476,6571.6,11.262919
1346.131550592187,6561.4688,11.25278
1346.1329394793274,6570.2046,11.26153
1346.1343283664671,6563.1353,11.250101
1346.1357172536068,6565.0327,11.265388
1346.137106140747,6577.0854,11.267404
1346.1384950278866,6556.9434,11.262831
1346.139883915026,6567.5825,11.266768
1346.1412728021949,6569.3403,11.268793
1346.1426616893345,6569.7305,11.2645855
1346.144050576475,6573.2705,11.268064
1346.1454394636144,6547.964,11.25829
1346.1468283507534,6572.038,11.275933
1346.1482172378935,6559.6846,11.26188
1346.1496061250336,6581.062,11.26909
1346.1509950121726,6567.237,11.262978
1346.1523838992832,6562.431,11.266076
1346.1537727864234,6568.4355,11.26784
1346.1551616735633,6588.3945,11.273886
1346.1565505607027,6564.4985,11.267749
1346.1579394478422,6589.0703,11.272186
1346.1593283349825,6565.121,11.276367
1346.160717222123,6562.4634,11.27786
1346.162106109262,6570.2676,11.276963
1346.1634949964014,6589.501,11.296206
1346.1648838835126,6562.305,11.269015
1346.166272770652,6570.7983,11.2766905
1346.1676616577918,6575.5273,11.276945
1346.1690505449315,6568.4795,11.271085
1346.1704394320418,6576.2896,11.279164
1346.1718283191822,6580.2095,11.279971
1346.1732172063216,6560.678,11.27582
1346.1746060934606,6552.9907,11.272695
1346.1759949805719,6549.7095,11.265596
1346.1773838677123,6569.8174,11.278837
1346.178772754851,6573.1865,11.27905
1346.1801616419616,6580.6377,11.294647
1346.181550529102,6563.953,11.2727375
1346.182939416213,6563.598,11.276968
1346.1843283033527,6561.94,11.277536
1346.1857171904915,6565.012,11.275215
1346.1871060776025,6551.9834,11.274197
